Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",0,Harper,Hardcover,560,2022,2022,,2022/10/30,,,read,,,,1,0
60371805,Shrines of Gaiety,Kate Atkinson,"Atkinson, Kate",,"=""0385547978""","=""9780385547970""",0,Doubleday,Hardcover,439,2022,2022,,2022/10/09,,,read,,,,1,0
53121631,Underland: A Deep Time Journey,Robert Macfarlane,"Macfarlane, Robert",,"=""0393358097""","=""9780393358094""",0,W. W. Norton & Company,Paperback,496,2020,2019,,2021/06/18,,,read,,,,1,0
58350424,Disorientation,Elaine Hsieh Chou,"Chou, Elaine Hsieh",,"=""0593298357""","=""9780593298350""",0,Penguin Press,Hardcover,403,2022,2022,,2022/02/22,,,read,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,Harper Voyager,Hardcover,544,2022,2022,,2022/09/07,,,read,,,,1,0
85210,Killshot,Elmore Leonard,"Leonard, Elmore",,"=""0060512245""","=""9780060512248""",0,Mariner Books,Mass Market Paperback,334,2003,1989,,2023/03/01,to-read,to-read (#98),to-read,,,,0,0
19161905,The Getaway,Jim Thompson,"Thompson, Jim",Laura Lippman,"=""0316403970""","=""9780316403979""",0,"Little, Brown Paperbacks",Paperback,224,2014,1958,,2023/03/01,to-read,to-read (#97),to-read,,,,0,0
61812836,"Crook Manifesto (The Harlem Trilogy, #2)",Colson Whitehead,"Whitehead, Colson",,"=""0385545150""","=""9780385545150""",0,Doubleday,Hardcover,336,2023,2023,,2023/02/21,to-read,to-read (#96),to-read,,,,0,0
58999181,Shadowlands: A Journey Through Britain's Lost Cities and Vanished Villages,Matthew       Green,"Green, Matthew",,"=""0393635341""","=""9780393635348""",0,W. W. Norton & Company,Hardcover,368,2022,2022,,2023/01/12,to-read,to-read (#95),to-read,,,,0,0
331429,On Mexican Time: A New Life in San Miguel,Tony Cohan,"Cohan, Tony",,"=""0747553653""","=""9780747553656""",0,Bloomsbury Publishing PLC,Paperback,264,2001,1999,,2022/12/22,to-read,to-read (#94),to-read,,,,0,0
1011812,Mexican Days: Journeys into the Heart of Mexico,Tony Cohan,"Cohan, Tony",,"=""0767920910""","=""9780767920919""",0,Crown,Paperback,288,2007,2006,,2022/12/22,to-read,to-read (#93),to-read,,,,0,0
