Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
"A Year at Brandywine Cottage: Six Seasons of Beauty, Bounty, and Blooms","David L. Culp, Rob Cardillo",,,,to-read,2020/06/19,,,0,,,,,,,,,,,,,No
Fleishman Is in Trouble,Taffy Brodesser-Akner,,9780525510871,hardcover,to-read,2020/05/07,,,0,,,,,,,,,,,,,No
The Glass Palace,Amitav Ghosh,,9780375758775,paperback,to-read,2020/01/28,,,0,,,,,,,,,,,,,No
Moranthology,Caitlin Moran,,9780091940881,hardcover,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
The Birds of Heaven: Travels with Cranes,Peter Matthiessen,Robert Bateman (Illustrator),9780865476578,paperback,to-read,2021/04/12,,,0,,,,,,,,,,,,,No
"Politics Is for Power: How to Move Beyond Political Hobbyism, Take Action, and Make Real Change",Eitan Hersh,,9781982116781,hardcover,to-read,2023/06/16,,,0,,,,,,,,,,,,,No
Strangers in Paradise: How Families Adapt to Wealth Across Generations,James Grubman,,9780615894355,paperback,to-read,2025/12/31,,,0,,,,,,,,,,,,,No
Missionaries,Phil Klay,,9781984880659,hardcover,to-read,2020/12/17,,,0,,,,,,,,,,,,,No
The Broken Cage,Sarah Painter,Kate Rawson (Narrator),9781004095933,audio,to-read,2025/07/29,,,0,,,,,,,,,,,,,No
Bunch of Amateurs: A Search for the American Character,Jack Hitt,,9780307393753,hardcover,to-read,2021/04/03,,,0,,,,,,,,,,,,,No
Man's Search for Meaning,Viktor E. Frankl,"Harold S. Kushner (Contributor), William J. Winslade (Contributor), Ilse Lasch (Translator)",9780807014295,paperback,to-read,2021/06/19,,,0,,,,,,,,,,,,,No
Down The Kitchen Sink,Beverley Nichols,,9780491015516,hardcover,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
Greeks Bearing Gifts,Philip Kerr,,9780399185212,paperback,to-read,2018/09/26,,,0,,,,,,,,,,,,,No
One Crazy Summer,Rita Williams-Garcia,,9780060760885,hardcover,to-read,2016/10/06,,,0,,,,,,,,,,,,,No
Tokyo Ueno Station,Yu Miri,Morgan Giles (Translator),9781911284161,paperback,to-read,2021/04/04,,,0,,,,,,,,,,,,,No
"The Hidden Life of Trees: What They Feel, How They Communicate",Peter Wohlleben,"Tim Flannery (Contributor), Jane Billinghurst (Translator)",9781771642484,hardcover,to-read,2021/06/18,,,0,,,,,,,,,,,,,No
Anthill,Edward O. Wilson,,9780393071191,hardcover,to-read,2025/12/12,,,0,,,,,,,,,,,,,No
Unbroken Threads,Jennifer Klepper,,,,to-read,2021/06/19,,,0,,,,,,,,,,,,,No
Last Night I Dreamed of Peace: The Diary of Dang Thuy Tram,Đặng Thùy Trâm,Andrew X Pham (Translator),9780307347374,hardcover,to-read,2020/01/28,,,0,,,,,,,,,,,,,No
Warlight,Michael Ondaatje,,9781787330726,paperback,to-read,2018/08/19,,,0,,,,,,,,,,,,,No
Led by the Nose: A Garden of Smells,Jenny Joseph,,9780285636538,hardcover,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
My Own Country: A Doctor's Story,Abraham Verghese,,9780679752929,paperback,to-read,2023/12/02,,,0,,,,,,,,,,,,,No
The Book of Night Women,Marlon James,,9781594488573,hardcover,to-read,2020/05/24,,,0,,,,,,,,,,,,,No
"Do No Harm: Stories of Life, Death and Brain Surgery",Henry Marsh,,9780297869870,hardcover,to-read,2019/11/27,,,0,,,,,,,,,,,,,No
The Getaway,Jim Thompson,,9780316403979,paperback,to-read,2023/03/01,,,0,,,,,,,,,,,,,No
Klara and the Sun,Kazuo Ishiguro,"Peter Bergsma (Translator), Adeline van Lier (Narrator)",9780593318171,hardcover,to-read,2021/03/02,,,0,,,,,,,,,,,,,No
The Road to Tender Hearts,Annie Hartnett,,9780593873441,hardcover,to-read,2025/11/26,,,0,,,,,,,,,,,,,No
Project Hail Mary,Andy Weir,,9780593135204,hardcover,to-read,2021/07/09,,,0,,,,,,,,,,,,,No
Seal Morning,Rowena Farre,Maurice Fleming,9781841586908,paperback,to-read,2017/10/08,,,0,,,,,,,,,,,,,No
Crook Manifesto,Colson Whitehead,,9780385545150,hardcover,to-read,2023/02/21,,,0,,,,,,,,,,,,,No
Mitt engelska hus,Beverley Nichols,,,,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
Lonesome Dove,Larry McMurtry,,9780671683900,paperback,to-read,2020/08/18,,,0,,,,,,,,,,,,,No
There There,Tommy Orange,,9781787300361,paperback,to-read,2019/12/22,,,0,,,,,,,,,,,,,No
Birnam Wood,Eleanor Catton,,9780374110338,hardcover,to-read,2023/07/20,,,0,,,,,,,,,,,,,No
The Greatest Benefit to Mankind: A Medical History of Humanity,Roy Porter,,9780393319804,paperback,to-read,2025/08/01,,,0,,,,,,,,,,,,,No
One Wild Bird At A Time: Portraits of Individual Lives,Bernd Heinrich,Bernd Heinrich (Illustrator),9780544387638,hardcover,to-read,2024/03/04,,,0,,,,,,,,,,,,,No
"Arguing with Zombies: Economics, Politics, and the Fight for a Better Future",Paul Krugman,,9781324005018,hardcover,to-read,2021/05/07,,,0,,,,,,,,,,,,,No
The Lager Queen of Minnesota,J. Ryan Stradal,,9780399563058,hardcover,to-read,2024/08/09,,,0,,,,,,,,,,,,,No
"Pacific Coasting: A Guide to the Ultimate Road Trip, from Southern California to the Pacific Northwest",Danielle Kroll,,9781579658717,hardcover,to-read,2022/02/12,,,0,,,,,,,,,,,,,No
Anxious People,Fredrik Backman,,9781982169633,hardcover,to-read,2021/04/04,,,0,,,,,,,,,,,,,No
Das Lächeln des Tigers : von den letzten Menschenfressern der Welt,David Quammen,,9781844133239,,to-read,2018/09/30,,,0,,,,,,,,,,,,,No
The Shadow Wing,Sarah Painter,,B093LR1SJN,digital,to-read,2025/07/29,,,0,,,,,,,,,,,,,No
Kidnapped,Robert Louis Stevenson,,9780439295789,paperback,to-read,2018/12/22,,,0,,,,,,,,3,,,,,No
Village in a Valley,Beverley Nichols,,,,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
Small Mercies,Dennis Lehane,,9780062129482,hardcover,to-read,2023/07/20,,,0,,,,,,,,,,,,,No
Laughter on the Stairs,Beverley Nichols,,,,to-read,2021/10/17,,,0,,,,,,,,,,,,,No
"An Army at Dawn: The War in North Africa, 1942-1943, Volume One of the Liberation Trilogy",Rick Atkinson,,9780805062885,hardcover,to-read,2026/01/01,,,0,,,,,,,,,,,,,No
How Much of These Hills Is Gold,C Pam Zhang,,9780525537205,hardcover,to-read,2020/12/17,,,0,,,,,,,,,,,,,No
Onions in the Stew,Betty MacDonald,,,audio,to-read,2022/10/03,,,0,,,,,,,,,,,,,No
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Anna Rosling Rönnlund, Ola Rosling",9781473637467,hardcover,to-read,2020/04/20,,,0,,,,,,,,,,,,,No
The Code: Silicon Valley and the Remaking of America,Margaret O'Mara,,9780399562204,paperback,to-read,2020/05/18,,,0,,,,,,,,,,,,,No
Sidewalks in the Jungle: What It's REALLY Like to Live and Retire in Costa Rica,Alfred Stites,,9781933167336,hardcover,to-read,2021/06/19,,,0,,,,,,,,,,,,,No
Turning Darkness Into Light,Marie Brennan,,9780765377616,hardcover,to-read,2019/07/30,,,0,,,,,,,,,,,,,No
On Mexican Time: A New Life In San Miguel,Tony Cohan,,9780747553656,hardcover,to-read,2022/12/22,,,0,,,,,,,,,,,,,No
Lone Women,Victor LaValle,,9780525512080,hardcover,to-read,2023/05/27,,,0,,,,,,,,,,,,,No
The Goshawk,T.H. White,Marie Winn (Contributor),9781590172490,paperback,to-read,2021/04/12,,,0,,,,,,,,,,,,,No
Encounters with the Archdruid: Narratives about a Conservationist and Three of His Natural Enemies,John McPhee,,9780374514310,paperback,to-read,2025/12/12,,,0,,,,,,,,,,,,,No
The Trees in My Forest,Bernd Heinrich,,9780060174460,hardcover,to-read,2024/03/04,,,0,,,,,,,,,,,,,No
Martyr!,Kaveh Akbar,,9780593537619,hardcover,to-read,2025/11/26,,,0,,,,,,,,,,,,,No
Islands of Abandonment,Cal Flyn,,9780008329761,hardcover,to-read,2022/02/12,,,0,,,,,,,,,,,,,No
Behind the Scenes at the Museum,Kate Atkinson,,9780312150600,paperback,to-read,2021/04/10,,,0,,,,,,,,,,,,,No
The Shock of the New,Robert Hughes,,9780500275825,paperback,to-read,2023/10/29,,,0,,,,,,,,,,,,,No
The Disreputable History of Frankie Landau-Banks,E. Lockhart,,9780786838189,hardcover,to-read,2016/04/04,,,0,,,,,,,,,,,,,No
