Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Angle of Repose,Wallace Stegner,"",9780140169300,paperback,read,2018/09/26,"","",1,"",,,,,,,4.0,,"",,"",No
Pied Piper,Nevil Shute,"",9780345017338,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Enigma Game,Elizabeth Wein,"",9781368012584,hardcover,read,2020/04/28,"","",1,"",,,,,,,,,"",,"",No
You're Fifty-Now What?: Investing for the Second Half of Your Life,Charles Schwab,"",9780609605622,hardcover,to-read,2020/01/16,"","",0,"",,,,,,,,,"",,"",No
Hamnet,Maggie O'Farrell,"Lidwien Biekmann (Translator), Willemijn de Vries (Narrator)",9781472223791,hardcover,read,2021/04/04,"","",1,"",,,,,,,5.0,,"",,"",No
At Night All Blood Is Black,David Diop,Anna Moschovakis (Translator),9780374266974,hardcover,to-read,2021/07/09,"","",0,"",,,,,,,,,"",,"",No
The Game of Kings,Dorothy Dunnett,"",9780679777434,paperback,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
State of Wonder,Ann Patchett,"",9780062049803,hardcover,read,2019/12/22,"","",1,"",,,,,,,,,"",,"",No
Expats in Spain,Mark Shearman,"",,,to-read,2020/01/28,"","",0,"",,,,,,,,,"",,"",No
Death of a Red Heroine,Qiu Xiaolong,"",9781569472422,paperback,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"",9780061854545,hardcover,read,2020/04/27,"","",1,"",,,,,,,,,"",,"",No
Blue at the Mizzen,Patrick O'Brian,"",9780393321074,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
I Am the Messenger,Markus Zusak,"",9780375830990,hardcover,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
The Silent Patient,Alex Michaelides,"",9781250301697,hardcover,read,2019/12/24,"","",1,"",,,,,,,,,"",,"",No
The Smartest Kids in the World: And How They Got That Way,Amanda Ripley,"",9781451654424,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
Garden Open Today,Beverley Nichols,"",9780881925333,hardcover,read,2021/10/17,"","",1,"",,,,,,,,,"",,"",No
The Hundred Days,Patrick O'Brian,"",9780393319798,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
"A Year at Brandywine Cottage: Six Seasons of Beauty, Bounty, and Blooms","David L. Culp, Rob Cardillo","",,,to-read,2020/06/19,"","",0,"",,,,,,,,,"",,"",No
Fleishman Is in Trouble,Taffy Brodesser-Akner,"",9780525510871,hardcover,to-read,2020/05/07,"","",0,"",,,,,,,,,"",,"",No
The Shadow of the Wind,Carlos Ruiz Zafón,Lucia Graves (Translator),9780143034902,paperback,read,2020/01/28,"","",1,"",,,,,,,,,"",,"",No
Dark Star,Alan Furst,"",9780375759994,paperback,read,2016/02/29,"","",1,"",,,,,,,4.0,,"",,"",No
The World at Night,Alan Furst,"",9780375758584,paperback,read,2018/09/26,"","",1,"",,,,,,,4.0,,"",,"",No
Winter Holiday,Arthur Ransome,"",9780879236618,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
"Bruno, Chief of Police",Martin Walker,"",9781847245076,hardcover,read,2022/08/30,"","",1,"",,,,,,,4.0,,"",,"",No
Vesper Flights,Helen MacDonald,"",9780802128812,hardcover,read,2020/07/29,"","",1,"",,,,,,,,,"",,"",No
The Ionian Mission,Patrick O'Brian,"",9780393308211,paperback,read,2016/02/29,"","",1,"",,,,,,,5.0,,"",,"",No
The Glass Palace,Amitav Ghosh,"",9780375758775,paperback,to-read,2020/01/28,"","",0,"",,,,,,,,,"",,"",No
Moranthology,Caitlin Moran,"",9780091940881,hardcover,to-read,2016/04/04,"","",0,"",,,,,,,,,"",,"",No
